                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1731,                 4.0929,                 4.2222,                0.00334,                0.63237,                0.01674,                0.00505,                 2.7239,                 4.2708,                 4.1114,             0.00046681,             0.00046681,             0.00046681
                      2,                 3.1337,                  4.005,                 4.0039,                0.00128,                 0.3405,                0.00519,                0.00134,                 3.0967,                 5.0881,                 4.1928,             0.00092447,             0.00092447,             0.00092447
                      3,                 3.0447,                 3.8622,                 3.6943,                0.36852,                0.00748,                0.00657,                0.00192,                 2.8613,                 4.4919,                 3.9344,              0.0013633,              0.0013633,              0.0013633
                      4,                 2.9362,                 3.7968,                 3.4725,                0.00923,                0.06861,                0.00571,                0.00136,                 2.9352,                 7.9364,                 3.8884,              0.0013441,              0.0013441,              0.0013441
                      5,                  2.773,                 3.7426,                 3.3253,                0.39849,                 0.0338,                0.02993,                 0.0081,                 2.6984,                 4.8331,                 3.3829,              0.0013158,              0.0013158,              0.0013158
                      6,                 2.6405,                 3.6111,                 3.1716,                0.02962,                0.02941,                0.01291,                0.00495,                 2.5718,                 4.9096,                 3.6449,              0.0012875,              0.0012875,              0.0012875
                      7,                 2.5365,                 3.5373,                 3.0981,                0.10837,                 0.1943,                0.04549,                 0.0123,                 2.5731,                 4.3589,                 3.2918,              0.0012592,              0.0012592,              0.0012592
                      8,                 2.4266,                 3.4485,                 3.0057,                0.13136,                0.09638,                0.04615,                0.01472,                 2.5151,                 4.0821,                 3.3279,              0.0012309,              0.0012309,              0.0012309
                      9,                 2.3021,                 3.3747,                 2.8723,                0.20647,                0.02804,                0.03478,                0.01504,                 2.3422,                 4.1174,                 3.2048,              0.0012026,              0.0012026,              0.0012026
                     10,                 2.1877,                 3.1837,                 2.7706,                0.10646,                0.11017,                0.05863,                0.02206,                 2.2178,                 3.9633,                  2.995,              0.0011744,              0.0011744,              0.0011744
                     11,                  2.112,                 3.1238,                  2.683,                0.10487,                0.10332,                0.06702,                0.02652,                 2.1898,                 3.5338,                 2.9757,              0.0011461,              0.0011461,              0.0011461
                     12,                 2.0909,                 3.0721,                 2.6294,                0.14272,                 0.1057,                0.07325,                0.02132,                 2.3547,                 3.5654,                 3.2035,              0.0011178,              0.0011178,              0.0011178
                     13,                 2.0101,                 2.9875,                 2.5552,                 0.1891,                0.13783,                 0.0919,                0.03887,                 2.0765,                 3.3984,                 2.8524,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.9591,                 2.9082,                   2.48,                0.17742,                0.11272,                0.08999,                0.03655,                 2.2281,                 3.5122,                  3.103,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.9655,                 2.8492,                 2.4806,                0.14076,                 0.1659,                0.09746,                0.04003,                 2.2007,                 3.6483,                 2.9808,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.8839,                 2.7865,                 2.4166,                0.19401,                0.21179,                0.14207,                 0.0748,                 1.8542,                  3.045,                 2.5938,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.7586,                 2.6442,                 2.3096,                0.26814,                0.25098,                0.16289,                0.07983,                 1.8469,                 2.9334,                 2.5086,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.8109,                 2.6864,                 2.3382,                0.22459,                0.26901,                0.17377,                0.10319,                  1.705,                  2.888,                 2.4539,               0.000948,               0.000948,               0.000948
                     19,                   1.72,                 2.6053,                 2.2757,                0.24511,                0.24225,                0.16128,                0.08531,                 1.8058,                 2.7681,                 2.5349,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.7108,                   2.51,                 2.2478,                0.30151,                0.28216,                0.21772,                0.12374,                 1.6607,                 2.6557,                  2.387,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.6629,                 2.4457,                 2.2058,                0.29887,                0.28795,                0.21802,                 0.1262,                 1.6838,                 2.5435,                 2.3675,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.6426,                 2.4505,                 2.1799,                0.29143,                0.23049,                0.17937,                0.08304,                 1.8553,                 2.8445,                 2.6555,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.6062,                 2.3294,                 2.1499,                0.34122,                0.34523,                0.24358,                0.13295,                 1.6435,                 2.5629,                  2.319,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.6421,                 2.3724,                 2.1791,                0.35543,                0.40802,                0.29724,                0.18201,                 1.5141,                   2.35,                 2.2265,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.5855,                 2.3359,                 2.1263,                0.35318,                0.42276,                0.30312,                0.17461,                 1.5531,                 2.2579,                 2.2505,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.5981,                 2.2618,                 2.1244,                0.31235,                0.37933,                0.25721,                0.14099,                 1.6048,                 2.5537,                 2.2996,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.5635,                 2.2778,                 2.0949,                0.38785,                0.42647,                0.33425,                0.20502,                 1.4718,                 2.3891,                 2.1657,             0.00069335,             0.00069335,             0.00069335
